Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,phase_sync_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,max_repeated_frames,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_brightness,screen_dimming,screen_power_consumption,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_frag_inst_per_pixel,avg_vert_inst_per_pixel,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale,dynres_recommendation_percentage,dynres_recommendation_width,dynres_recommendation_height
44002,533,450,68,43,9999,0,1500,0,3847,7500,3,2,1651,456,2000,1,0,1,73,72,22,0,0,0,0,0,2192,2288,1190,1712,0,19,39,47,40,10,14,19,0,0,22,0,0,12018,647,0,370,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
45002,533,450,68,43,9999,0,1500,0,3838,7500,3,3,1651,456,2000,1,0,1,73,72,23,0,0,0,0,0,2192,2288,1583,1980,169,14,55,60,57,5,14,14,0,0,26,0,0,12018,647,0,370,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,130,100,2192,2288
46002,533,450,68,43,9999,0,1500,0,3838,7500,3,2,1651,492,2000,1,0,1,72,72,23,0,0,0,0,0,2192,2288,1182,1730,0,19,39,38,35,9,18,19,0,0,22,0,0,12018,647,0,370,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
47002,533,450,68,43,9999,0,1500,0,3838,7500,3,2,1651,456,2000,1,0,1,73,72,22,0,0,0,0,0,2192,2288,1316,1720,0,19,40,39,40,9,5,19,0,0,22,0,0,12018,647,0,370,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
48002,533,450,68,43,9999,0,1500,0,3838,7500,3,2,1651,456,2000,1,0,1,73,72,23,0,0,0,0,0,2192,2288,1108,1718,0,23,42,39,35,0,14,23,0,0,23,0,0,12018,647,0,370,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
49002,533,450,68,43,9999,0,1500,0,3838,7500,3,2,1651,456,2000,1,0,1,73,72,29,3,0,1,0,0,2192,2288,1869,1753,0,19,36,39,23,13,10,19,0,0,27,0,0,12018,647,0,370,0,370,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
50002,533,450,68,43,9999,0,1500,0,3838,7142,3,2,1651,456,2000,1,0,1,72,72,27,0,0,0,0,0,2192,2288,1429,1740,0,14,29,39,33,9,10,14,0,0,24,0,0,12018,647,0,370,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
51002,533,450,68,43,9999,0,1500,0,3838,7500,3,2,1651,456,2000,1,0,1,72,72,24,0,0,0,0,0,2192,2288,1576,1712,0,23,27,35,31,9,10,23,0,0,24,0,0,12018,647,0,370,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
52002,533,450,68,43,9999,0,1500,0,3838,7500,3,2,1651,456,2000,1,0,1,72,72,24,0,0,0,0,0,2192,2288,1454,1713,0,15,36,38,39,0,9,15,0,0,24,0,0,12018,647,0,370,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
53023,537,437,68,43,9999,0,1500,0,3838,7500,3,2,1651,456,1708,1,0,1,73,72,24,0,0,0,0,0,2192,2288,2269,1736,0,23,29,33,31,10,10,23,0,0,30,0,0,12018,633,0,370,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,100,2192,2288
